,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
5545,Of Monsters and Men,My Head Is An Animal,Yellow Light,3hs6kchwaeSe967AMMYTrp,0.38,0.419,2,-10.979,1,0.0264,0.313,0.00119,0.378,0.0626,101.043,292627,4,11.0
5546,Of Monsters and Men,My Head Is An Animal,Love Love Love,3o1cohFfwd57rAvrbyVE5e,0.324,0.367,7,-9.814,1,0.0377,0.806,8.98e-05,0.0836,0.16,110.947,238787,5,11.0
5547,The Kooks,Konk,One Last Time,2so4Y65VapWGnfF2leexmu,0.562,0.595,6,-7.038,1,0.0314,0.692,0.000179,0.237,0.443,82.575,158320,4,16.0
5548,Noosa,Noosa,Walk On By,4hEx4pOr6zMsREYezwWNqn,0.441,0.441,6,-11.298,0,0.0381,0.921,0.0328,0.0831,0.114,80.084,312000,4,11.0
5549,Revolver,Parallel Lives,Parallel Lives - Acoustic,2Cq7TjQSRjRkxpgPXVaQUW,0.525,0.455,11,-9.88,0,0.0327,0.846,0.00268,0.0924,0.392,171.71,242773,4,11.0
5550,Foals,Total Life Forever,Spanish Sahara,3SJWVMRwk5z4Uaff7kGs0d,0.364,0.565,9,-10.085,0,0.0705,0.0306,0.0369,0.108,0.346,128.222,409560,4,13.0
5551,Brett Anderson,Wilderness,Back to You,2DPiTxkAJppAZ32M3jm6CZ,0.474,0.33,8,-8.127,0,0.0293,0.936,0.000151,0.0984,0.293,125.913,194187,4,11.0
5552,Summer Heart,About A Feeling,When Worlds Collide,3fXto1JFnrHNFRK8L8SF5P,0.513,0.491,0,-11.575,1,0.0475,0.638,0.965,0.124,0.0953,126.133,302857,4,6.0
5553,The xx,xx,Night Time,0ibXYHIS1vPqpkm1LoIWZR,0.68,0.391,11,-11.754,0,0.032,0.509,0.186,0.122,0.137,122.006,216853,4,13.0
5554,Coldplay,X&Y,Fix You,7LVHVU3tWfcxj5aiPFEW4Q,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,295533,4,10.0
5555,Coldplay,X&Y,What If,39qRdHcl2tizWbzlM9kUlN,0.304,0.502,6,-6.707,0,0.035,0.313,0.0011,0.138,0.204,136.779,298520,4,13.0
5556,Death Cab for Cutie,Plans,Brothers on a Hotel Bed,1aVDEX174Us2c2NtdOD2jO,0.608,0.65,3,-11.816,1,0.0469,0.517,0.000689,0.115,0.198,158.706,271133,4,10.0
5557,James Vincent McMorrow,Early in the Morning (Special Edition),Higher Love,7apw8m9lHQjvuUVfMAm4kZ,0.323,0.119,5,-17.892,1,0.05,0.962,0.000348,0.106,0.176,89.862,215590,4,11.0
5558,Lucy Rose,Like I Used To,Shiver,0Wv9Ckm088qsVkMKPH170C,0.463,0.192,9,-13.229,1,0.0338,0.706,8.46e-05,0.105,0.135,122.631,233013,3,15.0
