,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
0,Taylor Swift,reputation,...Ready For It?,2yLa0QULdQr0qAIvVwN6B5,0.613,0.764,2,-6.509,1,0.136,0.0527,0,0.197,0.417,160.015,208187,4,1.0
1,Thomas Rhett,Life Changes,Life Changes,4Vxu50qVrQcycjRyJQaZLC,0.687,0.845,7,-4.37,1,0.0576,0.1,0,0.0452,0.809,87.972,190227,4,8.0
2,Bruno Mars,24K Magic,24K Magic,6b8Be6ljOzmkOmFslEb23P,0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97,225983,4,3.0
3,Ed Sheeran,÷ (Deluxe),Galway Girl,0afhq8XCExXpqazXczTSve,0.624,0.876,9,-3.374,1,0.1,0.0735,0,0.327,0.781,99.943,170827,4,8.0
4,Ed Sheeran,x (Deluxe Edition),Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,4,11.0
5,Camila Cabello,Camila,Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,217307,4,3.0
6,Bruno Mars,Unorthodox Jukebox,When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,0.612,0.28,0,-8.648,1,0.0434,0.932,0,0.088,0.387,72.795,213827,4,11.0
7,Various Artists,Rocky III: Music From The Motion Picture,Gonna Fly Now,6C2PfemHQul77DVpnvuAIs,0.415,0.538,9,-12.71,0,0.0368,0.4,0.767,0.0674,0.449,95.121,170240,4,2.0
8,Maroon 5,Red Pill Blues (Deluxe),Don't Wanna Know (feat. Kendrick Lamar),5o3GnrcFtvkdf3zFznuSbA,0.783,0.61,7,-6.124,1,0.0696,0.343,0,0.0983,0.418,100.047,214265,4,19.0
9,Ed Sheeran,x (Deluxe Edition),Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,281560,4,16.0
10,Neon Trees,Picture Show (Deluxe Edition),Everybody Talks,3528IXKpbb7OMjdjWYlbfD,0.471,0.924,8,-3.906,1,0.0586,0.00301,0,0.313,0.725,154.961,177280,4,1.0
11,Taylor Swift,Red (Big Machine Radio Release Special),We Are Never Ever Getting Back Together,0VwNdo84DaVYLIkbVO86ND,0.628,0.676,7,-5.911,1,0.0916,0.00957,2.65e-05,0.121,0.75,85.984,193147,4,8.0
12,Taylor Swift,1989,Bad Blood,0TvQLMecTE8utzoNmvXRbK,0.652,0.802,7,-6.114,1,0.181,0.0871,6.45e-06,0.148,0.295,170.157,211933,4,1.0
13,The Script,#3 Deluxe Version,Hall of Fame (feat. will.i.am),7wMq5n8mYSKlQIGECKUgTX,0.421,0.873,10,-4.343,1,0.0564,0.0654,0,0.123,0.629,84.786,202533,4,19.0
14,Maroon 5,Overexposed Track By Track,Payphone,1XGmzt0PVuFgQYYnV2It7A,0.743,0.752,4,-4.813,1,0.0414,0.0188,0,0.287,0.545,110.015,231173,4,3.0
15,Maroon 5,V,Sugar,2iuZJX9X9P0GKaE93xcPjk,0.748,0.788,1,-7.055,1,0.0334,0.0591,0,0.0863,0.884,120.076,235493,4,3.0
16,Sugarland,The Incredible Machine,Stuck Like Glue,0JcKdUGNR7zI4jJDLyYXbi,0.702,0.795,1,-4.764,1,0.0568,0.329,0,0.0505,0.836,83.961,247587,4,3.0
17,Bruno Mars,24K Magic,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,206693,4,3.0
18,One Direction,FOUR (Deluxe),Steal My Girl,2Bs4jQEGMycglOfWPBqrVG,0.536,0.768,10,-5.948,0,0.0347,0.00433,0,0.114,0.545,77.217,228133,4,13.0
19,DJ Khaled,Grateful,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,0.609,0.668,7,-4.284,1,0.0367,0.0552,0,0.167,0.811,80.924,288600,4,8.0
20,Taylor Swift,1989,Wildest Dreams,3fVnlF4pGqWI9flVENcT28,0.553,0.664,8,-7.417,1,0.0741,0.0709,0.0056,0.106,0.467,140.06,220440,4,19.0
21,Khalid,American Teen,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,0.799,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.948,202547,4,3.0
22,Natasha Bedingfield,Unwritten,Unwritten,3U5JVgI2x4rDyHGObzJfNf,0.706,0.8,5,-6.333,1,0.0399,0.00584,0,0.0822,0.629,100.011,259333,4,8.0
23,R. Kelly,The Essential R. Kelly,Ignition - Remix,3zSCNTXI7Ed0PiidZVmzIe,0.778,0.549,1,-6.144,1,0.0473,0.0549,0,0.0724,0.802,133.041,186040,4,3.0
24,Tom Petty,Full Moon Fever,Free Fallin',5tVA6TkbaAH9QMITTQRrNv,0.623,0.449,5,-13.333,1,0.0253,0.212,0,0.0613,0.572,84.383,256000,4,16.0
25,Van Morrison,Blowin' Your Mind!,Brown Eyed Girl,3yrSvpt2l1xhsV9Em88Pul,0.491,0.583,7,-10.964,1,0.0376,0.185,0,0.406,0.908,150.566,183307,4,1.0
26,Jason Derulo,Future History (Deluxe Edition),It Girl,4fINc8dnfcz7AdhFYVA4i7,0.668,0.718,1,-4.736,0,0.0605,0.0165,0,0.104,0.345,91.993,192200,4,17.0
27,Train,"Save Me, San Francisco (Golden Gate Edition)","Hey, Soul Sister",4HlFJV71xXKIGcU3kRyttv,0.673,0.886,1,-4.44,0,0.0431,0.185,0,0.0826,0.795,97.012,216773,4,17.0
28,Portugal. The Man,Woodstock,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253,4,17.0
29,The Chainsmokers,Closer,Closer,7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960,4,8.0
30,Trolls,TROLLS (Original Motion Picture Soundtrack),"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",1WkMMavIMc4JZ8cfMmxHkI,0.669,0.832,0,-5.721,1,0.0682,0.0106,0,0.0968,0.7,113.035,237547,4,3.0
31,Soulja Boy,iSouljaBoyTellem,Kiss Me Thru The Phone,2q4rjDy9WhaN3o9MvDbO21,0.758,0.712,7,-3.781,1,0.112,0.0185,0,0.0677,0.795,149.998,193387,4,8.0
32,Mark Ronson,Uptown Special,Uptown Funk (feat. Bruno Mars),32OlwWuMpZ6b0aN2RZOeMS,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,269667,4,3.0
33,Taylor Swift,1989 (Deluxe),Blank Space,1u8c2t2Cy7UBoG4ArRcF5g,0.76,0.703,5,-5.412,1,0.054,0.103,0,0.0913,0.57,95.997,231827,4,8.0
34,Maroon 5,Hands All Over (Revised International Standard version),"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",7pYfyrMNPn3wtoCyqcTVoI,0.722,0.761,11,-4.459,0,0.0475,0.0117,0,0.315,0.624,128.044,201493,4,14.0
35,Katy Perry,PRISM (Deluxe),Roar,6F5c58TMEs1byxUstkzVeM,0.554,0.772,7,-4.821,0,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,223546,4,4.0
36,Various Artists,"Was nicht passt, wird passend gemacht (Music Inspired By the Film)",Ymca,7Cp69rNBwU0gaFT8zxExlE,0.715,0.951,6,-6.488,1,0.132,0.152,0,0.302,0.671,126.643,284867,4,8.0
37,Taylor Swift,Fearless (Big Machine Radio Release Special),You Belong With Me,1GEBsLDvJGw7kviySRI6GX,0.687,0.745,6,-4.432,1,0.0379,0.178,1.59e-05,0.111,0.435,129.966,232120,4,19.0
38,The Killers,Hot Fuss,All These Things That I've Done,5vollujufHY0jMZxx77VWr,0.539,0.702,6,-7.291,1,0.0436,0.00245,2.37e-05,0.117,0.206,118.106,301867,4,19.0
39,Taylor Swift,Red (Big Machine Radio Release Special),I Knew You Were Trouble.,6FB3v4YcR57y4tXFcdxI1E,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,219720,4,17.0
40,DNCE,DNCE,Cake By The Ocean,76hfruVvmfQbw0eYn1nmeC,0.774,0.753,4,-5.446,0,0.0517,0.152,0,0.0371,0.896,119.002,219147,4,14.0
41,Carly Rae Jepsen,Kiss,Call Me Maybe,20I6sIOMTCkB6w7ryavxtO,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,193400,4,8.0
42,Taylor Swift,Red (Big Machine Radio Release Special),22,6ce41JVa6KFaryfmC2bu2W,0.661,0.729,7,-6.561,1,0.0376,0.00215,0.0013,0.0477,0.668,103.987,232120,4,8.0
43,Katy Perry,Teenage Dream: The Complete Confection,California Gurls,6tS3XVuOyu10897O3ae7bi,0.791,0.754,0,-3.729,1,0.0569,0.00446,0,0.163,0.425,125.014,234653,4,3.0
44,Taylor Swift,1989,Welcome To New York,10nqz67NQWWa7XPq7ycihi,0.793,0.634,7,-4.807,1,0.0324,0.038,1.76e-06,0.304,0.615,117.023,212600,4,8.0
45,Taylor Swift,Taylor Swift (Big Machine Radio Release Special),Our Song,43H3q2NWT9LCuYS1B5IUvV,0.667,0.659,2,-4.932,1,0.0298,0.113,0,0.325,0.575,89.128,203440,4,3.0
46,Taylor Swift,Fearless (Big Machine Radio Release Special),Love Story,1D4PL9B8gOg78jiHg3FvBb,0.617,0.741,2,-3.97,1,0.0311,0.131,0,0.0772,0.306,118.984,236267,4,10.0
47,Taylor Swift,Fearless (Platinum Edition),Hey Stephen,3CI1f4yLwdHzcUnH7o0Xyh,0.843,0.553,6,-7.348,1,0.0317,0.168,2.66e-06,0.107,0.825,115.997,254320,4,8.0
48,Taylor Swift,1989 (Deluxe),Style,0ug5NqcwcFR2xrfTkc7k8e,0.588,0.791,7,-5.595,1,0.0402,0.00245,0.00258,0.118,0.487,94.933,231000,4,19.0
49,Taylor Swift,1989 (Deluxe),Shake It Off,0cqRj7pUJDkTCEsJkx8snD,0.647,0.8,7,-5.384,1,0.165,0.0647,0,0.334,0.942,160.078,219200,4,1.0
50,Taylor Swift,Speak Now,Mean,0KztjtD3ytzgYjUKIVfBnW,0.57,0.747,4,-3.978,1,0.0426,0.445,0,0.219,0.808,164.004,237747,4,1.0
51,Taylor Swift,reputation,Gorgeous,1ZY1PqizIl78geGM4xWlEA,0.8,0.535,7,-6.684,1,0.135,0.0713,9.48e-06,0.213,0.451,92.027,209680,4,8.0
52,Taylor Swift,Taylor Swift (Big Machine Radio Release Special),Teardrops On My Guitar - Radio Single Remix,7snx7w5WZLHovS0xC45ZfP,0.626,0.44,10,-6.942,1,0.0232,0.331,0,0.146,0.259,99.962,204707,4,19.0
53,John Legend,Love In The Future (Expanded Edition),All of Me,3U4isOIWM3VvDubwSI3y7a,0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,269560,4,11.0
54,Passenger,All the Little Lights (Deluxe Version),Let Her Go,5rEvuW4YhwobKwGL1HPrXA,0.479,0.545,7,-7.346,1,0.0688,0.365,0,0.0963,0.244,74.897,252733,4,19.0
55,Sam Smith,In The Lonely Hour,Stay With Me,5Nm9ERjJZ5oyfXZTECKmRt,0.418,0.42,0,-6.444,1,0.0414,0.588,6.39e-05,0.11,0.184,84.094,172724,4,11.0
56,Ed Sheeran,+,The A Team,1XpYodsD36XN7ygcdF7mJJ,0.642,0.289,9,-9.918,1,0.0367,0.669,0,0.18,0.407,84.996,258373,4,16.0
57,DJ Khaled,Grateful,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,0.609,0.668,7,-4.284,1,0.0367,0.0552,0,0.167,0.811,80.924,288600,4,8.0
58,Justin Timberlake,The 20/20 Experience (Deluxe Version),Mirrors,4rHZZAmHpZrA3iH5zx8frV,0.574,0.512,5,-6.664,0,0.0503,0.234,0,0.0946,0.512,76.899,484147,4,13.0
59,Katy Perry,Teenage Dream: The Complete Confection,Firework,4lCv7b86sLynZbXhfScfm2,0.638,0.826,8,-4.968,1,0.0479,0.139,0,0.0803,0.649,124.072,227880,4,8.0
60,Ed Sheeran,÷ (Deluxe),Perfect,0tgVpDi06FyKpA1z0VMD4v,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,263400,3,5.0
61,Justin Bieber,Purpose (Deluxe),What Do You Mean?,4B0JvthVoAAuygILe3n4Bs,0.845,0.567,5,-8.118,0,0.0956,0.59,0.00142,0.0811,0.793,125.02,205680,4,14.0
62,Demi Lovato,Tell Me You Love Me,Sorry Not Sorry,0yvPEnB032fojLfVluFjUv,0.706,0.643,11,-6.929,0,0.234,0.0242,0,0.262,0.885,143.931,203760,4,14.0
63,Kelly Clarkson,Stronger (Deluxe Version),Stronger (What Doesn't Kill You),1nInOsHbtotAmEOQhtvnzP,0.562,0.939,0,-4.282,1,0.0475,0.046,0,0.112,0.684,116.044,221947,4,3.0
64,Brett Young,Brett Young,In Case You Didn't Know,10M2Ex445zw585Ducldzkw,0.607,0.536,10,-7.306,1,0.0305,0.386,0,0.102,0.434,147.986,224853,4,19.0
65,Jordan Davis,Singles You Up,Singles You Up,3IPkbTA8KkdDXyWtGkfFXa,0.635,0.903,7,-3.588,1,0.0323,0.0472,0,0.255,0.559,100.08,182693,4,8.0
66,Thomas Rhett,Life Changes,Craving You,2d48mamATjby7wgPjdrSOQ,0.613,0.839,9,-3.799,0,0.0352,0.000854,0,0.341,0.526,104.975,223627,4,14.0
67,Devin Dawson,Dark Horse,All On Me,2mfahQ0EaaZWq4cFNg6A1o,0.634,0.668,5,-5.488,1,0.0291,0.14,0,0.216,0.635,80.989,224627,4,8.0
68,Luke Bryan,What Makes You Country,Light It Up,5w3NgfV8v1nNZFLUBlGHIL,0.608,0.928,6,-2.724,0,0.0883,0.133,0,0.103,0.738,130.012,177306,4,14.0
69,Thomas Rhett,Life Changes,Unforgettable,30MM5jWpUmOxtTNd9Ey5LZ,0.661,0.75,7,-5.497,1,0.0314,0.0303,0.000132,0.0849,0.828,130.077,157080,4,8.0
70,Blake Shelton,I'll Name the Dogs,I'll Name the Dogs,2n5ZD87XQ2yvIxGjoYbUmZ,0.47,0.852,4,-5.874,1,0.0933,0.163,2.04e-06,0.281,0.773,168.063,183200,4,1.0
71,LANCO,Hallelujah Nights,Greatest Love Story,2yQZwi1P8AkkxxFhQ8rMEK,0.669,0.617,10,-8.72,1,0.057,0.401,0,0.119,0.621,147.992,222573,4,8.0
72,Walker Hayes,You Broke Up with Me,You Broke Up with Me,6UsoV6X96Rox9mfxoz7SFy,0.846,0.711,0,-7.939,1,0.061,0.496,0,0.247,0.883,120.013,197840,4,3.0
73,Morgan Evans,Kiss Somebody,Kiss Somebody,1mJMD1VIQ7jWTP9DK2zmY0,0.492,0.681,6,-7.038,1,0.075,0.143,0,0.199,0.511,178.01,212445,4,1.0
74,Brett Young,Brett Young,Like I Loved You,3T6MAweakkNrMYs8jZIWtg,0.582,0.568,1,-6.051,1,0.0297,0.196,0,0.0841,0.64,76.025,207187,4,3.0
75,Brett Eldredge,The Long Way,The Long Way,1KTLLe980WR4RLKg74Ud6e,0.488,0.637,10,-7.63,1,0.0401,0.265,0,0.106,0.23,88.872,208653,4,19.0
76,Bebe Rexha,All Your Fault: Pt. 2,Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,163870,4,8.0
77,Jackie Lee,Getting Over You,Getting Over You,4hxPwjXNymrxLJD4YaeH1b,0.446,0.759,2,-5.053,1,0.0331,0.0636,0,0.098,0.56,170.17,172102,4,1.0
78,Thomas Rhett,Life Changes,Marry Me,0OWZFobGSIW9GrSlQ9C5pc,0.333,0.412,3,-8.633,1,0.029,0.0977,0,0.113,0.474,85.028,205453,4,10.0
79,Kane Brown,Kane Brown,What Ifs (feat. Lauren Alaina),7zVCrzzEJU7u24sbJPXA5W,0.612,0.799,10,-4.603,1,0.0275,0.00898,0,0.172,0.687,125.976,188253,4,8.0
80,Billy Currington,Summer Forever,Do I Make You Wanna,3I7krC8kr0gFR7P6vInR1I,0.553,0.747,9,-5.432,1,0.0279,0.106,0,0.154,0.521,90.012,234307,4,19.0
81,Granger Smith,When The Good Guys Win,Happens Like That,11fWR3u9wjDMW4oVDbUbyT,0.557,0.807,7,-5.428,1,0.0825,0.189,0,0.234,0.578,81.045,171493,4,19.0
82,Brett Kissel,We Were That Song,We Were That Song,0p3koX3t8IuRzXV3R31WD8,0.622,0.906,9,-3.401,1,0.0529,0.239,0,0.157,0.454,102.98,202213,4,19.0
83,Jay Sean,All Or Nothing,Down,6cmm1LMvZdB5zsCwX5BjqE,0.727,0.68,2,-4.498,1,0.0286,0.0101,0,0.0821,0.728,132.012,212507,4,3.0
84,Outkast,Speakerboxxx/The Love Below,Hey Ya!,2PpruBYCo4H7WOBJ7Q2EwM,0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,235213,4,14.0
85,Zara Larsson,So Good,Never Forget You,6v4F5IaKUITBPzt2wztoiZ,0.583,0.732,11,-5.728,0,0.0457,0.00312,9.86e-06,0.269,0.276,145.992,213428,4,13.0
86,Mike Posner,"At Night, Alone.",I Took A Pill In Ibiza - Seeb Remix,0vbtURX4qv1l7besfwmnD8,0.664,0.714,7,-6.645,0,0.111,0.0353,8.42e-06,0.0843,0.71,101.969,197933,4,14.0
87,Miley Cyrus,Bangerz (Deluxe Version),Wrecking Ball,2vwlzO0Qp8kfEtzTsCXfyE,0.53,0.422,5,-6.262,1,0.0342,0.407,0,0.107,0.349,119.964,221360,4,16.0
88,Becky G,Shower,Shower,3DmW6y7wTEYHJZlLo1r6XJ,0.699,0.529,2,-7.548,1,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,206167,4,10.0
89,Kygo,It Ain't Me (with Selena Gomez),It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,220781,4,3.0
90,Jason Derulo,Platinum Hits,Trumpets,154Z2G9kyrSZgmXmJwiytO,0.635,0.691,0,-4.862,1,0.258,0.555,0,0.097,0.638,82.142,217419,4,0.0
91,Diddy - Dirty Money,Last Train To Paris [Deluxe (Explicit Version)],Coming Home,568BqBOqxp0xyv93dmjv3Q,0.361,0.831,7,-1.944,1,0.198,0.147,0,0.244,0.24,168.617,238773,4,1.0
92,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,0.72,0.763,9,-4.068,0,0.0523,0.406,0,0.18,0.742,101.965,251088,4,14.0
93,Justin Bieber,My World 2.0,Baby,6epn3r7S14KUqlReYr77hA,0.728,0.859,5,-5.237,0,0.137,0.0401,0,0.111,0.535,65.043,214240,4,17.0
94,Rihanna,Good Girl Gone Bad: Reloaded,Umbrella,49FYlytm3dAAraYgpoJZux,0.583,0.829,1,-4.603,1,0.134,0.00864,0,0.0426,0.575,174.028,275987,4,1.0
95,Iyaz,Replay,Replay,5vlEg2fT4cFWAqU5QptIpQ,0.706,0.751,9,-6.323,1,0.0708,0.173,0,0.168,0.195,91.031,182307,4,19.0
96,Taio Cruz,The Rokstarr Hits Collection,Dynamite,2CEgGE6aESpnmtfiZwYlbV,0.751,0.783,4,-3.724,1,0.0859,0.00379,0,0.036,0.816,119.975,202613,4,3.0
97,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],I Gotta Feeling,4kLLWz7srcuLKA7Et40PQR,0.743,0.766,0,-6.375,1,0.0265,0.0873,0,0.509,0.61,127.96,289133,4,7.0
98,fun.,Some Nights,Some Nights,67WTwafOMgegV6ABnBQxcE,0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,277040,4,10.0
99,Rupert Holmes,Partners In Crime,Escape (The Pina Colada Song),5IMtdHjJ1OtkxbGe4zfUxQ,0.836,0.509,0,-13.668,1,0.0548,0.467,4.1e-06,0.0436,0.949,138.714,276493,4,16.0
100,Marvin Gaye,United,Ain't No Mountain High Enough,7tqhbajSfrz2F7E1Z75ASX,0.663,0.6,7,-10.87,1,0.032,0.43,0,0.184,0.8,129.991,151667,4,16.0
101,Colbie Caillat,All Of You,Brighter Than The Sun,5YTtTbqxUzJHD3CpbNHerP,0.629,0.793,9,-5.942,1,0.0346,0.00952,1.15e-06,0.218,0.588,95.981,231213,4,8.0
102,Neil Diamond,Sweet Caroline,Sweet Caroline,62AuGbAkt8Ox2IrFFb8GKV,0.529,0.127,11,-16.066,1,0.0274,0.611,0.000109,0.237,0.578,63.05,203573,4,11.0
103,The B-52's,Cosmic Thing,Love Shack,4W4wYHtsrgDiivRASVOINL,0.701,0.803,5,-6.786,0,0.0545,0.0544,1.54e-06,0.7,0.903,133.608,320680,4,7.0
104,Katrina & The Waves,Katrina & The Waves,Walking On Sunshine,05wIrZSwuaVWhcv5FfqeH0,0.596,0.869,10,-11.97,1,0.037,0.0116,0.173,0.0678,0.944,109.902,238733,4,8.0
105,Vance Joy,Dream Your Life Away,Riptide,7yq4Qj7cqayVTp3FF9CWbm,0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,204280,4,10.0
106,The Lumineers,The Lumineers,Ho Hey,2nXM8IVqKtyO6JKsLlXWAy,0.684,0.47,0,-9.088,1,0.0325,0.802,0,0.0711,0.381,79.934,163133,4,16.0
107,Various Artists,80s 100 Hits,Don't Stop Believin',3HRQtRUYnnuZY7fE900XtJ,0.495,0.781,4,-8.109,1,0.0413,0.254,0,0.395,0.473,119.206,248200,4,10.0
108,Smash Mouth,Astro Lounge,All Star,3cfOd4CMv2snFaKAnMdnvK,0.731,0.867,11,-5.881,1,0.032,0.0395,0,0.0861,0.776,104.019,200373,4,8.0
109,Beyoncé,I AM...SASHA FIERCE - Platinum Edition,Single Ladies (Put a Ring on It),557un1HgwYMuqfWGSTmnxw,0.426,0.584,1,-5.293,1,0.296,0.0383,0,0.192,0.272,193.438,192587,4,0.0
110,Jason Derulo,Jason Derulo (International),Ridin' Solo,6OEolOOk9Gh9bqkdpfIOl0,0.442,0.83,9,-4.02,1,0.146,0.128,0,0.129,0.578,89.338,215747,4,19.0
111,One Direction,Up All Night,What Makes You Beautiful,4cluDES4hQEUhmXj6TXkSo,0.726,0.787,4,-2.494,1,0.0737,0.009,0,0.0596,0.888,124.99,199987,4,3.0
112,Carly Rae Jepsen,Kiss,Call Me Maybe,20I6sIOMTCkB6w7ryavxtO,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,193400,4,8.0
113,Lynyrd Skynyrd,Second Helping,Sweet Home Alabama,7e89621JPkKaeDSTQ3avtg,0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,283800,4,8.0
114,Bon Jovi,Slippery When Wet,Livin' On A Prayer,37ZJ0p5Jm13JPevGcx4SkF,0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511,249293,4,3.0
115,Creedence Clearwater Revival,Pendulum (40th Anniversary Edition),Have You Ever Seen The Rain,2LawezPeJhN4AWuSB0GtAU,0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,160133,4,3.0
116,"Earth, Wind & Fire","The Best Of Earth, Wind & Fire Vol. 1",September,2grjqo0Frpf2okIBiifQKs,0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,215093,4,8.0
117,Vanilla Ice,Platinum Underground,Ice Ice Baby,66AiuTr5v9tw6B8gXau2aU,0.949,0.876,0,-6.472,1,0.0567,0.0128,0,0.124,0.483,117.579,250413,4,3.0
118,A Great Big World,Is There Anybody Out There?,Say Something,6Vc5wAMmXdKIAM7WUoEb7N,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,229400,3,15.0
119,Rascal Flatts,Me And My Gang,Life is a Highway,2Fs18NaCDuluPG1DHGw1XG,0.582,0.952,5,-3.848,1,0.0731,0.00324,0,0.223,0.655,103.027,276320,4,8.0
120,Bruno Mars,Doo-Wops & Hooligans,Just the Way You Are,47Slg6LuqLaX0VodpSCvPt,0.635,0.841,5,-5.379,1,0.0422,0.0134,0,0.0622,0.424,109.021,220734,4,19.0
121,John Mellencamp,American Fool,Jack & Diane,43btz2xjMKpcmjkuRsvxyg,0.811,0.41,9,-8.214,1,0.0391,0.0365,6.63e-06,0.0799,0.626,103.965,254493,4,8.0
122,Tom Petty,Full Moon Fever,Free Fallin',5tVA6TkbaAH9QMITTQRrNv,0.623,0.449,5,-13.333,1,0.0253,0.212,0,0.0613,0.572,84.383,256000,4,16.0
123,Phillip Phillips,The World From The Side Of The Moon,Home,1EAgPzRbK9YmdOESSMUm6P,0.606,0.826,0,-6.04,1,0.0307,0.0256,1.56e-05,0.117,0.322,121.04,210173,4,10.0
124,Zac Brown Band,The Foundation,Chicken Fried,0LQtEJt7x0s6knb6RKdRYc,0.566,0.713,6,-4.25,1,0.0418,0.645,0,0.114,0.805,169.861,238147,4,1.0
125,Taylor Swift,Fearless (Big Machine Radio Release Special),Love Story,1D4PL9B8gOg78jiHg3FvBb,0.617,0.741,2,-3.97,1,0.0311,0.131,0,0.0772,0.306,118.984,236267,4,10.0
126,Darius Rucker,True Believers,Wagon Wheel,3xdjjKMcMOFgo1eQrfbogM,0.537,0.66,9,-7.174,1,0.0296,0.455,0,0.135,0.574,148.096,298373,4,1.0
127,a-ha,Hunting High and Low,Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,225280,4,14.0
128,Pitbull,Global Warming: Meltdown (Deluxe Version),Timber (feat. Ke$ha),3tgZ9vmhuAY9wEoNUJskzV,0.589,0.966,11,-4.106,1,0.0972,0.03,0,0.147,0.802,129.983,204200,4,8.0
129,Alabama,Ultimate Alabama 20 # 1 Hits,Song of the South,4uUwD0uYzIDjKMKQglzmD2,0.486,0.647,9,-8.066,1,0.0337,0.189,0,0.305,0.628,162.218,190747,4,1.0
130,Alabama,The Essential Alabama 3.0,Dixieland Delight - Single Edit,6ZijsJ9Oh0xgOdY0O1xCWN,0.464,0.405,7,-12.538,1,0.033,0.208,1.1e-05,0.0611,0.514,95.852,236427,4,16.0
131,Train,"Save Me, San Francisco (Golden Gate Edition)","Hey, Soul Sister",4HlFJV71xXKIGcU3kRyttv,0.673,0.886,1,-4.44,0,0.0431,0.185,0,0.0826,0.795,97.012,216773,4,17.0
132,Usher,Raymond v Raymond (Expanded Edition),DJ Got Us Fallin' In Love (feat. Pitbull),4356Typ82hUiFAynbLYbPn,0.663,0.861,7,-3.398,0,0.109,0.0338,0,0.082,0.654,119.963,220800,4,14.0
133,Alicia Keys,Girl on Fire (Remixes) - EP,Girl on Fire,4esOae7i4rqTbAu9o5Pxco,0.482,0.706,9,-5.762,1,0.0607,0.135,0.00106,0.105,0.144,92.513,224920,4,19.0
134,Bruno Mars,Doo-Wops & Hooligans,Count on Me,3B5UbSndRz907IZhhmUfLi,0.589,0.389,0,-5.972,1,0.028,0.851,0,0.0772,0.501,89.1,197470,4,16.0
